中文提示	日文	假名或提示
不好意思。	すみません。	sumimasen
謝謝。	ありがとうございます。	arigatou gozaimasu
請再說一次。	もう一度お願いします。	mou ichido onegai shimasu
請慢一點。	ゆっくりお願いします。	yukkuri onegai shimasu
請寫下來。	書いてもらえますか。	kaite moraemasu ka
我不太懂日文。	日本語があまり分かりません。	nihongo ga amari wakarimasen
英文或中文可以嗎？	英語か中国語は大丈夫ですか。	eigo ka chuugokugo wa daijoubu desu ka
我想去熊本城。	熊本城に行きたいです。	kumamotojou ni ikitai desu
我想去熊本車站。	熊本駅に行きたいです。	kumamoto eki ni ikitai desu
這班巴士到熊本機場嗎？	このバスは熊本空港に行きますか。	kono basu wa kumamoto kuukou ni ikimasu ka
在哪裡下車？	どこで降りますか。	doko de orimasu ka
大概要多久？	どのくらいかかりますか。	dono kurai kakarimasu ka
可以用交通卡嗎？	ICカードは使えますか。	ai shii kaado wa tsukaemasu ka
請到這裡。	ここまでお願いします。	koko made onegai shimasu
請給我菜單。	メニューをください。	menyuu o kudasai
有中文菜單嗎？	中国語のメニューはありますか。	chuugokugo no menyuu wa arimasu ka
你推薦什麼？	おすすめは何ですか。	osusume wa nan desu ka
我要這個。	これにします。	kore ni shimasu
請給我一份熊本拉麵。	熊本ラーメンを一つお願いします。	kumamoto raamen o hitotsu onegai shimasu
請不要蔥。	ネギ抜きでお願いします。	negi nuki de onegai shimasu
請結帳。	お会計お願いします。	okaikei onegai shimasu
可以刷卡嗎？	カードは使えますか。	kaado wa tsukaemasu ka
很好吃。	おいしかったです。	oishikatta desu
我想辦理入住。	チェックインをお願いします。	chekku in o onegai shimasu
我有預約。	予約しています。	yoyaku shite imasu
這是我的護照。	パスポートです。	pasupooto desu
可以寄放行李嗎？	荷物を預けられますか。	nimotsu o azukeraremasu ka
Wi-Fi 密碼是什麼？	Wi-Fi のパスワードは何ですか。	wai fai no pasuwaado wa nan desu ka
溫泉在哪裡？	温泉はどこですか。	onsen wa doko desu ka
使用時間是幾點到幾點？	利用時間は何時から何時までですか。	riyou jikan wa nanji kara nanji made desu ka
門票多少錢？	入場料はいくらですか。	nyuujouryou wa ikura desu ka
可以幫我拍照嗎？	写真を撮ってもらえますか。	shashin o totte moraemasu ka
我想買伴手禮。	お土産を買いたいです。	omiyage o kaitai desu
保存期限到什麼時候？	賞味期限はいつまでですか。	shoumi kigen wa itsu made desu ka
請包裝成禮物。	プレゼント用に包んでください。	purezento you ni tsutsunde kudasai
不用袋子。	袋はいりません。	fukuro wa irimasen
我迷路了。	道に迷いました。	michi ni mayoimashita
我弄丟了手機。	スマホをなくしました。	sumaho o nakushimashita
我弄丟了錢包。	財布をなくしました。	saifu o nakushimashita
我弄丟了護照。	パスポートをなくしました。	pasupooto o nakushimashita
遺失物中心在哪裡？	遺失物センターはどこですか。	ishitsubutsu sentaa wa doko desu ka
我不舒服。	体調が悪いです。	taichou ga warui desu
我想去藥局。	薬局に行きたいです。	yakkyoku ni ikitai desu
請叫救護車。	救急車を呼んでください。	kyuukyuusha o yonde kudasai
請用簡單的日文。	簡単な日本語でお願いします。	kantan na nihongo de onegai shimasu
